,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power,Little_Scottie_cash,Little_Scottie_pos,Little_Scottie_in_jail,Little_Scottie_get_out_of_jail,Little_Scottie_chance_move,Little_Scottie_bankrupt,Little_Scottie_win%,Little_Scottie_power,Little_Ducky_cash,Little_Ducky_pos,Little_Ducky_in_jail,Little_Ducky_get_out_of_jail,Little_Ducky_chance_move,Little_Ducky_bankrupt,Little_Ducky_win%,Little_Ducky_power
0,4,,,,,,,,,,,,,,,,,Game start.,0.086,16,0,False,False,False,False,0.3152,16,16,0,False,False,False,False,0.2488,16,16,0,False,False,False,False,0.1972,16,16,0,False,False,False,False,0.1528,16
1,4,,,,,,Little_Penguin,,,,,,,Little_T_REX,,Little_Ducky,Little_Scottie,Little_T_REX purchased ICE CREAM PARLOUR from the Bank. Little_Penguin drew a chance card: FREE SPACE BROWN YELLOW. Little_Penguin's destination is TOY SHOP. Little_Penguin purchased TOY SHOP from the Bank. Little_Scottie purchased TACO TRUCK from the Bank. Little_Ducky purchased PIZZA HOUSE from the Bank. ,0.0696,15,5,False,False,False,False,0.276,16,13,16,False,False,False,False,0.4196,16,15,1,False,False,False,False,0.1212,16,15,2,False,False,False,False,0.1136,16
2,4,Little_Ducky,,,Little_Penguin,,Little_Penguin,,,,,Little_T_REX,,Little_T_REX,,Little_Ducky,Little_Scottie,Little_T_REX purchased LIBRARY from the Bank. Little_Penguin purchased AQUARIUM from the Bank. Little_Scottie drew a chance card: MOVE FORWARD 1 OR TAKE ANOTHER. Little_Scottie picked a new card instead of moving forward. Little_Scottie drew a chance card: Little Ducky. Little_Ducky purchased BOARDWALK from the Bank. ,0.08,13,8,False,False,False,False,0.2556,16,9,19,False,False,False,False,0.3868,16,15,3,False,False,False,False,0.0816,16,10,23,False,False,False,False,0.196,16
3,4,Little_Ducky,,,Little_Penguin,,Little_Penguin,,Little_Scottie,,Little_T_REX,Little_T_REX,,Little_T_REX,,Little_Ducky,Little_Scottie,Little_T_REX purchased GO-KARTS from the Bank. Little_Penguin paid Little_Scottie rent of 1. Little_Scottie drew a chance card: FREE SPACE RED. Little_Scottie's destination is FERRIS WHEEL. Little_Scottie purchased FERRIS WHEEL from the Bank. ,0.0824,11,10,False,False,False,False,0.2548,16,10,1,False,False,False,False,0.3244,17,13,13,False,False,False,False,0.196,17,12,0,False,False,False,False,0.1424,18
4,4,Little_Ducky,,,Little_Penguin,,Little_Penguin,,Little_Scottie,Little_Penguin,Little_T_REX,Little_T_REX,,Little_T_REX,,Little_Ducky,Little_Scottie,Little_T_REX paid Little_Penguin rent of 3. Little_Penguin drew a chance card: FREE SPACE ORANGE. Little_Penguin's destination is SWIMMING POOL. Little_Penguin purchased SWIMMING POOL from the Bank. Little_Scottie paid Little_Penguin rent of 3. ,0.0872,8,16,False,False,False,False,0.1304,13,14,11,False,False,False,False,0.606,23,10,16,False,False,False,False,0.0668,14,12,2,False,False,False,False,0.1096,18
5,4,Little_Ducky,Little_Scottie,,Little_Penguin,,Little_Penguin,,Little_Scottie,Little_Penguin,Little_T_REX,Little_T_REX,,Little_T_REX,Little_Ducky,Little_Ducky,Little_Scottie,Little_T_REX went to jail by landing on a GO TO JAIL Space. Little_Penguin drew a chance card: GET 1 FROM EVERYONE. Little_Scottie purchased PARK LANE from the Bank. Little_Ducky drew a chance card: FREE SPACE LIGHT BLUE. Little_Ducky's destination is BAKERY. Little_Ducky purchased BAKERY from the Bank. ,0.0708,8,6,True,False,False,False,0.0696,13,14,15,False,False,False,False,0.5864,23,5,22,False,False,False,False,0.1628,14,11,4,False,False,False,False,0.1104,18
6,4,Little_Ducky,Little_Scottie,,Little_Penguin,,Little_Penguin,,Little_Scottie,Little_Penguin,Little_T_REX,Little_T_REX,,Little_T_REX,Little_Ducky,Little_Ducky,Little_Scottie,Little_T_REX paid Little_Penguin rent of 2. Little_Penguin went to jail by landing on a GO TO JAIL Space. Little_Scottie drew a chance card: GET OUT OF JAIL FREE. Little_Ducky drew a chance card: GET 2 FROM BANK. ,0.1004,5,11,False,False,False,False,0.0504,10,16,6,True,False,False,False,0.5188,25,7,3,False,True,False,False,0.2068,16,13,9,False,False,False,False,0.1236,20
7,4,Little_Ducky,Little_Scottie,,Little_Penguin,,Little_Penguin,Little_T_REX,Little_Scottie,Little_Penguin,Little_T_REX,Little_T_REX,Little_Scottie,Little_T_REX,Little_Ducky,Little_Ducky,Little_Scottie,Little_T_REX drew a chance card: FREE SPACE LIGHT BLUE RED. Little_T_REX's destination is ROLLER COASTER. Little_T_REX purchased ROLLER COASTER from the Bank. Little_Penguin paid Little_T_REX rent of 2. Little_Scottie purchased MUSEUM from the Bank. Little_Ducky paid Little_T_REX rent of 2. ,0.1176,8,14,False,False,False,False,0.1688,16,13,8,False,False,False,False,0.426,22,5,7,False,True,False,False,0.2056,16,11,10,False,False,False,False,0.082,18
8,4,Little_Ducky,Little_Scottie,,Little_Penguin,,Little_Penguin,Little_T_REX,Little_Scottie,Little_Penguin,Little_T_REX,Little_T_REX,Little_Scottie,Little_T_REX,Little_Ducky,Little_Ducky,Little_Scottie,Little_T_REX went to jail by landing on a GO TO JAIL Space. Little_Penguin drew a chance card: Little T-REX. Little_Ducky paid Little_Penguin rent of 2. ,0.1288,8,6,True,False,True,False,0.308,16,15,9,False,False,False,False,0.3764,24,5,13,False,True,False,False,0.1788,16,9,11,False,False,False,False,0.008,16
9,4,Little_T_REX,Little_Scottie,,Little_Penguin,,Little_Penguin,Little_T_REX,Little_Scottie,Little_Penguin,Little_T_REX,Little_T_REX,Little_Scottie,Little_T_REX,Little_Ducky,Little_Ducky,Little_Scottie,Little_T_REX purchased BOARDWALK from Little_Ducky. Little_Penguin paid Little_T_REX rent of 3. Little_Scottie paid Little_Penguin rent of 4. Little_Ducky paid Little_Penguin rent of 3. ,0.0996,6,23,True,False,False,False,0.3772,19,19,14,False,False,False,False,0.452,28,1,19,False,True,False,False,0.0688,12,11,16,False,False,False,False,0.0024,13
