,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power,Little_Scottie_cash,Little_Scottie_pos,Little_Scottie_in_jail,Little_Scottie_get_out_of_jail,Little_Scottie_chance_move,Little_Scottie_bankrupt,Little_Scottie_win%,Little_Scottie_power,Little_Ducky_cash,Little_Ducky_pos,Little_Ducky_in_jail,Little_Ducky_get_out_of_jail,Little_Ducky_chance_move,Little_Ducky_bankrupt,Little_Ducky_win%,Little_Ducky_power
0,4,,,,,,,,,,,,,,,,,Game start.,0.072,16,0,False,False,False,False,0.3084,16,16,0,False,False,False,False,0.2824,16,16,0,False,False,False,False,0.1948,16,16,0,False,False,False,False,0.1424,16
1,4,,,,,,,,,,,,,,,Little_Penguin,Little_Scottie,Little_Penguin purchased PIZZA HOUSE from the Bank. Little_Scottie purchased TACO TRUCK from the Bank. ,0.0836,16,6,False,False,False,False,0.3744,16,15,2,False,False,False,False,0.202,16,15,1,False,False,False,False,0.126,16,16,6,False,False,False,False,0.214,16
1,4,,,,,,,,,,,,,,,,,Game start.,0.0852,16,0,False,False,False,False,0.3156,16,16,0,False,False,False,False,0.2496,16,16,0,False,False,False,False,0.1968,16,16,0,False,False,False,False,0.1528,16
2,4,,,,,,Little_Scottie,,,,,,,Little_Ducky,,,,Little_Penguin drew a chance card: GET 2 FROM BANK. Little_Scottie drew a chance card: FREE SPACE BROWN YELLOW. Little_Scottie's destination is TOY SHOP. Little_Scottie purchased TOY SHOP from the Bank. Little_Ducky purchased ICE CREAM PARLOUR from the Bank. ,0.0768,16,6,False,False,False,False,0.2212,16,18,3,False,False,False,False,0.1156,18,13,16,False,False,False,False,0.4448,16,15,5,False,False,False,False,0.1416,16
3,4,,,,,Little_Scottie,Little_Scottie,,,,Little_T_REX,,,Little_Ducky,,,,Little_T_REX purchased GO-KARTS from the Bank. Little_Penguin drew a chance card: GET OUT OF JAIL FREE. Little_Scottie purchased PET SHOP from the Bank. Little_Ducky drew a chance card: MOVE FORWARD 1 OR TAKE ANOTHER. Little_Ducky picked a new card instead of moving forward. Little_Ducky drew a chance card: ADVANCE TO GO KARTS. Little_Ducky paid Little_T_REX rent of 2. ,0.0416,16,10,False,False,False,False,0.122,18,18,9,False,True,False,False,0.0612,18,10,17,False,False,False,False,0.7384,16,13,10,False,False,False,False,0.0368,14
4,4,Little_Scottie,,,,Little_Scottie,Little_Scottie,Little_T_REX,,Little_Penguin,Little_T_REX,,,Little_Ducky,,,,Little_T_REX purchased ROLLER COASTER from the Bank. Little_Penguin purchased SWIMMING POOL from the Bank. Little_Scottie purchased BOARDWALK from the Bank. Little_Ducky paid Little_T_REX rent of 3. ,0.0488,16,14,False,False,False,False,0.1524,21,16,11,False,True,False,False,0.0252,18,5,23,False,False,False,False,0.762,16,10,14,False,False,False,False,0.0116,11
5,4,Little_Scottie,,Little_Ducky,Little_T_REX,Little_Scottie,Little_Scottie,Little_T_REX,,Little_Penguin,Little_T_REX,,,Little_Ducky,,Little_Scottie,,Little_T_REX purchased AQUARIUM from the Bank. Little_Penguin paid Little_Scottie rent of 6. Little_Scottie purchased PIZZA HOUSE from the Bank. Little_Ducky purchased THE ZOO from the Bank. ,0.05305,12,19,False,False,False,False,0.20535,21,10,17,False,True,False,False,0.0008,12,12,2,False,False,False,False,0.73525,24,6,20,False,False,False,False,0.00555,11
6,4,Little_Scottie,Little_Ducky,Little_Ducky,Little_T_REX,Little_Scottie,Little_Scottie,Little_T_REX,,Little_Penguin,Little_T_REX,,,Little_Ducky,,Little_Scottie,,Little_T_REX paid Little_Ducky rent of 4. Little_Penguin paid Little_Ducky rent of 4. Little_Ducky purchased PARK LANE from the Bank. ,0.07075,8,20,False,False,False,False,0.143,17,6,20,False,True,False,False,0.0016,8,12,6,False,False,False,False,0.7076,24,9,22,False,False,False,False,0.07705,19
7,4,Little_Scottie,Little_Scottie,Little_Ducky,Little_T_REX,Little_Scottie,Little_Scottie,Little_T_REX,,Little_Penguin,Little_T_REX,,,Little_Ducky,,Little_Scottie,,Little_T_REX drew a chance card: Little Scottie. Little_Penguin drew a chance card: GET 1 FROM EVERYONE. Little_Scottie purchased PARK LANE from Little_Ducky. Little_Ducky paid Little_Scottie rent of 1. ,0.0096,8,21,False,False,False,False,0.0432,17,6,21,False,True,False,False,0.0016,8,8,22,False,False,False,False,0.9384,25,15,2,False,False,False,False,0.0072,20
8,4,Little_Scottie,Little_Scottie,Little_Ducky,Little_T_REX,Little_Scottie,Little_Scottie,Little_T_REX,,Little_Penguin,Little_T_REX,,Little_Ducky,Little_Ducky,Little_Scottie,Little_Scottie,Little_T_REX,Little_T_REX purchased TACO TRUCK from the Bank. Little_Penguin drew a chance card: MOVE FORWARD UP TO 5 SPACES. Little_Scottie purchased BAKERY from the Bank. Little_Ducky purchased MUSEUM from the Bank. ,0.0112,9,1,False,False,False,False,0.048,19,8,6,False,True,False,False,,10,9,4,False,False,False,False,0.93,27,13,7,False,False,False,False,0.0108,20
