,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power,Little_Scottie_cash,Little_Scottie_pos,Little_Scottie_in_jail,Little_Scottie_get_out_of_jail,Little_Scottie_chance_move,Little_Scottie_bankrupt,Little_Scottie_win%,Little_Scottie_power,Little_Ducky_cash,Little_Ducky_pos,Little_Ducky_in_jail,Little_Ducky_get_out_of_jail,Little_Ducky_chance_move,Little_Ducky_bankrupt,Little_Ducky_win%,Little_Ducky_power
0,4,,,,,,,,,,,,,,,,,Game start.,0.0864,16,0,False,False,False,False,0.3168,16,16,0,False,False,False,False,0.2476,16,16,0,False,False,False,False,0.1972,16,16,0,False,False,False,False,0.152,16
1,4,,,,,,,,,,,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX purchased ICE CREAM PARLOUR from the Bank. Little_Penguin purchased TACO TRUCK from the Bank. Little_Scottie purchased BAKERY from the Bank. Little_Ducky drew a chance card: GET OUT OF JAIL FREE. ,0.0736,15,5,False,False,False,False,0.4164,16,15,1,False,False,False,False,0.1548,16,15,4,False,False,False,False,0.2344,16,16,3,False,True,False,False,0.1208,16
2,4,,,,,,,,,Little_T_REX,,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX purchased SWIMMING POOL from the Bank. Little_Scottie paid Little_T_REX rent of 1. ,0.0652,14,11,False,False,False,False,0.5528,17,15,6,False,False,False,False,0.1828,16,14,5,False,False,False,False,0.1156,15,16,6,False,True,False,False,0.0836,16
3,4,,,,,Little_T_REX,,,,Little_T_REX,,Little_Penguin,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX purchased PET SHOP from the Bank. Little_Penguin purchased LIBRARY from the Bank. Little_Scottie paid Little_Penguin rent of 2. ,0.066,11,17,False,False,False,False,0.538,17,15,8,False,False,False,False,0.2388,18,12,8,False,False,False,False,0.0688,13,16,12,False,True,False,False,0.0884,16
4,4,Little_Scottie,,Little_T_REX,,Little_T_REX,,Little_Penguin,,Little_T_REX,Little_Ducky,Little_Penguin,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX purchased THE ZOO from the Bank. Little_Penguin purchased ROLLER COASTER from the Bank. Little_Scottie drew a chance card: ADVANCE TO BOARDWALK. Little_Scottie purchased BOARDWALK from the Bank. Little_Ducky drew a chance card: ADVANCE TO GO KARTS. Little_Ducky purchased GO-KARTS from the Bank. ,0.0944,7,20,False,False,False,False,0.478,17,12,14,False,False,False,False,0.2528,18,7,23,False,False,False,False,0.1028,13,16,10,False,True,False,False,0.072,18
5,4,Little_Scottie,,Little_T_REX,Little_Penguin,Little_T_REX,,Little_Penguin,,Little_T_REX,Little_Ducky,Little_Penguin,,Little_T_REX,Little_Scottie,Little_Scottie,Little_Penguin,Little_T_REX paid Little_Penguin rent of 1. Little_Penguin purchased AQUARIUM from the Bank. Little_Scottie purchased PIZZA HOUSE from the Bank. Little_Ducky drew a chance card: Little Scottie. ,0.0612,8,1,False,False,False,False,0.232,18,9,19,False,False,False,False,0.1768,19,8,2,False,False,True,False,0.522,15,16,15,False,True,False,False,0.008,18
6,4,Little_Ducky,Little_Scottie,Little_T_REX,Little_Penguin,Little_T_REX,,Little_Penguin,,Little_T_REX,Little_Ducky,Little_Penguin,,Little_T_REX,Little_Scottie,Little_Scottie,Little_Penguin,Little_T_REX paid Little_Scottie rent of 1. Little_Penguin drew a chance card: Little Ducky. Little_Scottie purchased PARK LANE from the Bank. Little_Ducky purchased BOARDWALK from Little_Scottie. ,0.1152,7,4,False,False,False,False,0.3452,17,9,21,False,False,False,False,0.326,19,9,22,False,False,False,False,0.0844,16,11,23,False,True,False,False,0.1292,18
7,4,Little_Ducky,Little_Scottie,Little_T_REX,Little_Penguin,Little_T_REX,,Little_Penguin,,Little_T_REX,Little_Ducky,Little_Penguin,,Little_T_REX,Little_Scottie,Little_Scottie,Little_Penguin,Little_T_REX paid Little_Ducky rent of 2. Little_Ducky paid Little_Penguin rent of 1. ,0.1048,5,10,False,False,False,False,0.2732,15,12,1,False,False,False,False,0.3976,22,11,0,False,False,False,False,0.0824,18,14,1,False,True,False,False,0.142,21
8,4,Little_Ducky,Little_Scottie,Little_T_REX,Little_Penguin,Little_T_REX,Little_T_REX,Little_Penguin,,Little_T_REX,Little_Ducky,Little_Penguin,,Little_T_REX,Little_Scottie,Little_Scottie,Little_Penguin,Little_T_REX purchased TOY SHOP from the Bank. Little_Penguin paid Little_Scottie rent of 1. ,0.0912,2,16,False,False,False,False,0.3904,15,11,4,False,False,False,False,0.29,21,12,4,False,False,False,False,0.0892,19,14,6,False,True,False,False,0.1392,21
9,4,Little_Ducky,Little_Scottie,Little_T_REX,Little_Penguin,Little_T_REX,Little_T_REX,Little_Penguin,,Little_Penguin,Little_Ducky,Little_Penguin,Little_Scottie,Little_Penguin,Little_Scottie,Little_Scottie,Little_Penguin,Little_T_REX paid Little_Penguin $2.$-2 remaining. Little_T_REX sold ICE CREAM PARLOUR to Little_Penguin. Little_T_REX sold SWIMMING POOL to Little_Penguin. Little_Scottie purchased MUSEUM from the Bank. Little_Ducky paid Little_Penguin rent of 2. ,0.0984,1,19,False,False,False,False,0.1816,11,14,5,False,False,False,False,0.3824,27,10,7,False,False,False,False,0.182,19,12,8,False,True,False,False,0.1556,19
10,4,Little_Ducky,Little_Scottie,Little_T_REX,Little_Penguin,Little_Ducky,Little_Ducky,Little_Penguin,,Little_Penguin,Little_Ducky,Little_Penguin,Little_Scottie,Little_Penguin,Little_Scottie,Little_Scottie,Little_Penguin,Little_T_REX paid Little_Ducky $1.$-4 remaining. Little_T_REX sold PET SHOP to Little_Ducky. Little_T_REX sold TOY SHOP to Little_Ducky. Little_Penguin paid Little_Ducky rent of 2. Little_Scottie paid Little_Ducky rent of 2. Little_Ducky paid Little_Penguin rent of 3. ,0.094,2,23,False,False,False,False,,6,15,10,False,False,False,False,0.3752,28,8,10,False,False,False,False,0.008,17,12,14,False,True,False,False,0.5228,25
11,4,Little_Ducky,Little_Scottie,Little_T_REX,Little_Penguin,Little_Ducky,Little_Ducky,Little_Penguin,Little_Scottie,Little_Penguin,Little_Ducky,Little_Penguin,Little_Scottie,Little_Penguin,Little_Scottie,Little_Scottie,Little_Penguin,Little_T_REX paid Little_Scottie rent of 1. Little_Penguin paid Little_Ducky rent of 6. Little_Scottie purchased FERRIS WHEEL from the Bank. ,0.0896,3,2,False,False,False,False,,7,9,16,False,False,False,False,0.2384,22,6,13,False,False,False,False,0.0252,18,18,17,False,True,False,False,0.6468,31
12,4,Little_Ducky,Little_Scottie,Little_T_REX,Little_Penguin,Little_Ducky,Little_Ducky,Little_Penguin,Little_Scottie,Little_Penguin,Little_Ducky,Little_Penguin,Little_Scottie,Little_Penguin,Little_Scottie,Little_Scottie,Little_Penguin,Little_T_REX paid Little_Penguin rent of 1. Little_Penguin drew a chance card: PAY 2 TO BANK. Little_Scottie went to jail by landing on a GO TO JAIL Space. Little_Ducky paid Little_Penguin rent of 4. ,0.0888,2,5,False,False,False,False,,6,12,21,False,False,False,False,0.2972,25,6,6,True,False,False,False,0.0204,18,14,19,False,True,False,False,0.5936,27
