,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power
0,2,,,,,,,,,,,,,,,,,Game start.,0.0044,20,0,False,False,False,False,0.56,20,20,0,False,False,False,False,0.4356,20
1,2,,,,,,,,,,,,,,,,Little_T_REX,Little_T_REX purchased TACO TRUCK from the Bank. Little_Penguin paid Little_T_REX rent of 1. ,0.0028,20,1,False,False,False,False,0.6432,21,19,1,False,False,False,False,0.354,19
2,2,,,,,,,,,,,,,Little_Penguin,,,Little_T_REX,Little_Penguin purchased ICE CREAM PARLOUR from the Bank. ,0.0036,20,6,False,False,False,False,0.6304,21,18,5,False,False,False,False,0.366,19
3,2,,,,,,,,,Little_T_REX,,,,Little_Penguin,,,Little_T_REX,Little_T_REX purchased SWIMMING POOL from the Bank. ,0.0052,18,11,False,False,False,False,0.7428,21,18,6,False,False,False,False,0.252,19
4,2,,,,,,,Little_T_REX,,Little_T_REX,,,,Little_Penguin,,,Little_T_REX,Little_T_REX purchased ROLLER COASTER from the Bank. Little_Penguin paid Little_T_REX rent of 2. ,0.0024,17,14,False,False,False,False,0.8372,23,16,11,False,False,False,False,0.1604,17
5,2,,,,Little_T_REX,,,Little_T_REX,,Little_T_REX,,,,Little_Penguin,,,Little_T_REX,Little_T_REX purchased AQUARIUM from the Bank. Little_Penguin paid Little_T_REX rent of 3. ,0.002,16,19,False,False,False,False,0.948,26,13,14,False,False,False,False,0.05,14
6,2,,,,Little_T_REX,,,Little_T_REX,,Little_T_REX,,,,Little_Penguin,,,Little_T_REX,Little_Penguin went to jail by landing on a GO TO JAIL Space. ,0.0012,18,1,False,False,False,False,0.9364,28,13,6,True,False,False,False,0.0624,14
7,2,,,,Little_T_REX,,,Little_T_REX,,Little_T_REX,,,Little_Penguin,Little_Penguin,,,Little_T_REX,Little_T_REX paid Little_Penguin rent of 1. Little_Penguin purchased MUSEUM from the Bank. ,0.0028,17,5,False,False,False,False,0.904,27,11,7,False,False,False,False,0.0932,14
8,2,,,,Little_T_REX,,,Little_T_REX,,Little_T_REX,Little_T_REX,,Little_Penguin,Little_Penguin,,,Little_T_REX,Little_T_REX purchased GO-KARTS from the Bank. Little_Penguin drew a chance card: GET 2 FROM BANK. ,0.0004,15,10,False,False,False,False,0.9616,27,13,9,False,False,False,False,0.038,16
9,2,,,,Little_T_REX,,,Little_T_REX,,Little_T_REX,Little_T_REX,,Little_Penguin,Little_Penguin,,,Little_T_REX,Little_Penguin paid Little_T_REX rent of 4. ,0.0012,19,11,False,False,False,False,0.9876,31,9,10,False,False,False,False,0.0112,12
