,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power,Little_Scottie_cash,Little_Scottie_pos,Little_Scottie_in_jail,Little_Scottie_get_out_of_jail,Little_Scottie_chance_move,Little_Scottie_bankrupt,Little_Scottie_win%,Little_Scottie_power
0,3,,,,,,,,,,,,,,,,,Game start.,0.05,18,0,False,False,False,False,0.4016,18,18,0,False,False,False,False,0.28945,18,18,0,False,False,False,False,0.25895,18
1,3,,,,,,,,,,,,,,Little_Penguin,Little_Scottie,,Little_T_REX drew a chance card: GET 2 FROM BANK. Little_Penguin purchased BAKERY from the Bank. Little_Scottie purchased PIZZA HOUSE from the Bank. ,0.0432,20,3,False,False,False,False,0.3684,20,17,4,False,False,False,False,0.3552,18,17,2,False,False,False,False,0.2332,18
2,3,,,,,,,,,,,,,Little_Penguin,Little_Penguin,Little_Scottie,,Little_Penguin purchased ICE CREAM PARLOUR from the Bank. Little_Scottie paid Little_Penguin rent of 2. ,0.0472,20,6,False,False,False,False,0.3812,20,18,5,False,False,False,False,0.4148,20,15,4,False,False,False,False,0.1568,16
3,3,,,,,,,,,,Little_Penguin,,,Little_Penguin,Little_Penguin,Little_Scottie,,Little_Penguin purchased GO-KARTS from the Bank. Little_Scottie drew a chance card: GET 1 FROM EVERYONE. ,0.04845,20,12,False,False,False,False,0.287,20,16,10,False,False,False,False,0.5382,20,15,9,False,False,False,False,0.12635,16
4,3,,,,,,Little_T_REX,Little_Scottie,,,Little_Penguin,,,Little_Penguin,Little_Penguin,Little_Scottie,,Little_T_REX purchased TOY SHOP from the Bank. Little_Penguin paid Little_T_REX rent of 3. Little_Scottie purchased ROLLER COASTER from the Bank. ,0.05135,20,16,False,False,False,False,0.47845,23,13,16,False,False,False,False,0.29595,17,12,14,False,False,False,False,0.17425,16
5,3,,,Little_Scottie,,Little_T_REX,Little_T_REX,Little_Scottie,,,Little_Penguin,,,Little_Penguin,Little_Penguin,Little_Scottie,,Little_T_REX drew a chance card: FREE SPACE BROWN YELLOW. Little_T_REX's destination is PET SHOP. Little_T_REX purchased PET SHOP from the Bank. Little_Penguin went to jail by landing on a GO TO JAIL Space. Little_Scottie purchased THE ZOO from the Bank. ,0.02555,19,17,False,False,False,False,0.6566,25,13,6,True,False,False,False,0.11005,17,8,20,False,False,False,False,0.2078,16
6,3,,Little_Scottie,Little_Scottie,,Little_T_REX,Little_T_REX,Little_Scottie,,,Little_Penguin,,,Little_Penguin,Little_Penguin,Little_Scottie,,Little_T_REX drew a chance card: ADVANCE TO GO. Little_Penguin drew a chance card: Little T-REX. Little_Scottie purchased PARK LANE from the Bank. ,0.035,21,0,False,False,True,False,0.7296,27,12,9,False,False,False,False,0.05495,16,3,22,False,False,False,False,0.18045,16
7,3,Little_T_REX,Little_Scottie,Little_Scottie,,Little_T_REX,Little_T_REX,Little_Scottie,Little_Penguin,,Little_Penguin,,,Little_Penguin,Little_Penguin,Little_Scottie,,Little_T_REX purchased BOARDWALK from the Bank. Little_Penguin purchased FERRIS WHEEL from the Bank. ,0.0476,16,23,False,False,False,False,0.71,27,9,13,False,False,False,False,0.0668,16,5,0,False,False,False,False,0.1756,18
8,3,Little_T_REX,Little_Scottie,Little_Scottie,,Little_T_REX,Little_T_REX,Little_Scottie,Little_Penguin,,Little_Penguin,,,Little_Penguin,Little_Penguin,Little_Scottie,,Little_T_REX paid Little_Penguin rent of 2. Little_Penguin paid Little_T_REX rent of 6. Little_Scottie paid Little_Penguin rent of 2. ,0.0288,22,5,False,False,False,False,0.7888,33,7,16,False,False,False,False,0.048,14,3,4,False,False,False,False,0.1344,16
9,3,Little_T_REX,Little_Scottie,Little_Scottie,,Little_T_REX,Little_T_REX,Little_Scottie,Little_Penguin,,Little_Penguin,,Little_T_REX,Little_Penguin,Little_Penguin,Little_Scottie,,Little_T_REX purchased MUSEUM from the Bank. Little_Penguin drew a chance card: ADVANCE TO BOARDWALK. Little_Penguin paid Little_T_REX rent of 5. Little_Scottie paid Little_T_REX rent of 2. ,0.01355,27,7,False,False,False,False,0.9057,40,2,23,False,False,False,False,0.04965,9,1,7,False,False,False,False,0.0311,14
