,players,BOARDWALK_owner,PARK LANE_owner,THE ZOO_owner,AQUARIUM_owner,PET SHOP_owner,TOY SHOP_owner,ROLLER COASTER_owner,FERRIS WHEEL_owner,SWIMMING POOL_owner,GO-KARTS_owner,LIBRARY_owner,MUSEUM_owner,ICE CREAM PARLOUR_owner,BAKERY_owner,PIZZA HOUSE_owner,TACO TRUCK_owner,notes,draw_win%,Little_T_REX_cash,Little_T_REX_pos,Little_T_REX_in_jail,Little_T_REX_get_out_of_jail,Little_T_REX_chance_move,Little_T_REX_bankrupt,Little_T_REX_win%,Little_T_REX_power,Little_Penguin_cash,Little_Penguin_pos,Little_Penguin_in_jail,Little_Penguin_get_out_of_jail,Little_Penguin_chance_move,Little_Penguin_bankrupt,Little_Penguin_win%,Little_Penguin_power,Little_Scottie_cash,Little_Scottie_pos,Little_Scottie_in_jail,Little_Scottie_get_out_of_jail,Little_Scottie_chance_move,Little_Scottie_bankrupt,Little_Scottie_win%,Little_Scottie_power
0,3,,,,,,,,,,,,,,,,,Game start.,0.0448,18,0,False,False,False,False,0.412,18,18,0,False,False,False,False,0.2908,18,18,0,False,False,False,False,0.2524,18
1,3,,,,,,,,,,,,,Little_Scottie,,,Little_T_REX,Little_T_REX purchased TACO TRUCK from the Bank. Little_Penguin paid Little_T_REX rent of 1. Little_Scottie purchased ICE CREAM PARLOUR from the Bank. ,0.0404,18,1,False,False,False,False,0.3504,19,17,1,False,False,False,False,0.188,17,17,5,False,False,False,False,0.4212,18
2,3,,,,,,,,,,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX,Little_T_REX purchased MUSEUM from the Bank. Little_Penguin purchased PIZZA HOUSE from the Bank. ,0.0372,16,7,False,False,False,False,0.592,19,16,2,False,False,False,False,0.1408,17,17,6,False,False,False,False,0.23,18
3,3,,,,,,,,Little_T_REX,,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX,Little_T_REX purchased FERRIS WHEEL from the Bank. Little_Penguin paid Little_T_REX rent of 2. ,0.028,15,13,False,False,False,False,0.7428,21,14,7,False,False,False,False,0.0888,15,17,12,False,False,False,False,0.1404,18
4,3,Little_Scottie,,,,,Little_T_REX,,Little_T_REX,,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX,Little_T_REX purchased TOY SHOP from the Bank. Little_Penguin drew a chance card: Little T-REX. Little_Scottie drew a chance card: ADVANCE TO BOARDWALK. Little_Scottie purchased BOARDWALK from the Bank. ,0.0312,12,16,False,False,True,False,0.8476,21,14,9,False,False,False,False,0.0772,15,12,23,False,False,False,False,0.044,18
5,3,Little_T_REX,,,,,Little_T_REX,,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX,Little_T_REX purchased BOARDWALK from Little_Scottie. Little_Penguin purchased SWIMMING POOL from the Bank. ,0.0416,7,23,False,False,False,False,0.822,21,12,11,False,False,False,False,0.0904,15,19,5,False,False,False,False,0.046,20
6,3,Little_T_REX,,,,,Little_T_REX,,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX,Little_Penguin paid Little_T_REX rent of 3. Little_Scottie paid Little_T_REX rent of 2. ,0.0284,14,1,False,False,False,False,0.8908,28,9,13,False,False,False,False,0.0532,12,17,7,False,False,False,False,0.0276,18
7,3,Little_T_REX,,,Little_Penguin,,Little_T_REX,,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX,Little_T_REX drew a chance card: GET OUT OF JAIL FREE. Little_Penguin purchased AQUARIUM from the Bank. Little_Scottie paid Little_T_REX rent of 3. ,0.0196,17,3,False,True,False,False,0.8828,31,5,19,False,False,False,False,0.086,12,14,13,False,False,False,False,0.0116,15
8,3,Little_T_REX,,,Little_Penguin,,Little_T_REX,Little_Scottie,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX,Little_T_REX paid Little_Scottie rent of 1. Little_Scottie purchased ROLLER COASTER from the Bank. ,0.0336,16,5,False,True,False,False,0.8616,30,7,0,False,False,False,False,0.0628,14,12,14,False,False,False,False,0.042,16
9,3,Little_T_REX,,,Little_Penguin,,Little_T_REX,Little_Scottie,Little_T_REX,Little_Penguin,,,Little_T_REX,Little_Scottie,,Little_Penguin,Little_T_REX,Little_Penguin paid Little_T_REX rent of 1. Little_Scottie drew a chance card: GET OUT OF JAIL FREE. ,0.042,17,6,False,True,False,False,0.8556,31,6,1,False,False,False,False,0.0632,13,12,15,False,True,False,False,0.0392,16
